Label_x,Label_y,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4,RSSI_5,proximity_5,accuracy_5,RSSI_6,proximity_6,accuracy_6,RSSI_7,proximity_7,accuracy_7,RSSI_8,proximity_8,accuracy_8
0.0,0.0,-59.0,far,3.015025748320314,-75.0,far,12.420171331909229,-71.0,far,22.514098732944202,-81.0,far,57.23981612367915,-76.0,far,42.19436149672397,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-62.0,far,3.387701815065234,-78.0,far,13.698954345653036,-74.0,far,22.925655410043948,-76.0,far,54.9805572265378,-78.0,far,42.49099211720689,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-59.0,far,3.516312288862041,-77.0,far,14.918357502120378,-71.0,far,22.49110964777012,-74.0,far,51.577475079690394,-80.0,far,43.43749860058898,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-59.0,far,3.62157664471782,-77.0,far,16.13429282822305,-71.0,far,22.116042395060617,-76.0,far,50.131151106593386,-80.0,far,44.32992537635371,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-61.0,far,3.8698815445587855,-81.0,far,17.682459537848672,-71.0,far,21.789298098161503,-80.0,far,50.6725118366328,-80.0,far,45.17178761601444,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-61.0,far,4.08745369233093,-79.0,far,19.088171667363227,-71.0,far,21.50261258199129,-77.0,far,49.90068348301999,-80.0,far,45.966101410287735,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-61.0,far,4.275558829379509,-77.0,far,20.243413960982235,-75.0,far,22.13144937019721,-74.0,far,47.50786425336566,-80.0,far,46.716245957458625,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-61.0,far,4.43625745270046,-79.0,far,21.626432932863203,-73.0,far,22.320575038255388,-74.0,far,45.48279948348535,-84.0,far,48.46399355274639,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
0.0,0.0,-60.0,far,4.473338678370645,-75.0,far,22.33679998858629,-71.0,far,21.979020039309482,-74.0,far,43.74488366809752,-81.0,far,49.41310287639268,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-60.0,far,4.894490604135467,-75.0,far,23.02527718299033,-78.0,far,28.85835223960651,0.0,unknow,-1.0,-81.0,far,50.50385162176911,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-59.0,far,4.7340440523188425,-74.0,far,23.37305889215025,-81.0,far,30.23915852201312,0.0,unknow,-1.0,-80.0,far,51.04810996250799,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-59.0,far,4.607904879391925,-75.0,far,23.907604981046262,-80.0,far,31.46068624339976,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-59.0,far,4.513431172141715,-74.0,far,24.189254975405657,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-59.0,far,4.435095081954508,-73.0,far,24.213335002080473,0.0,unknow,-1.0,0.0,unknow,-1.0,-79.0,far,52.06808433256112,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-59.0,far,4.370559925740989,-74.0,far,24.47499065508104,0.0,unknow,-1.0,-79.0,far,50.296987645163085,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-59.0,far,4.31762229822388,-73.0,far,24.47576091272191,-80.0,far,36.52434379280576,-78.0,far,50.0351208823329,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
1.0,0.0,-58.0,far,4.16879512085916,-72.0,far,24.205735629336782,-79.0,far,37.35610295495652,-79.0,far,50.1952757432152,-79.0,far,52.89453003166928,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-60.0,far,4.814578287172816,-71.0,far,20.052429404023183,-77.0,far,35.827190841151165,-77.0,far,48.44994534580527,-75.0,far,42.06509656635894,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-59.0,far,4.668527074578427,-71.0,far,19.954043853308495,-81.0,far,37.03980821696816,0.0,unknow,-1.0,-78.0,far,42.30364756819325,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-60.0,far,4.6637845915152765,-72.0,far,20.081567438595247,-80.0,far,38.0385076219416,0.0,unknow,-1.0,-78.0,far,42.53128205052623,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-61.0,far,4.760546235882224,-72.0,far,20.20026468804399,-77.0,far,38.21770551326685,0.0,unknow,-1.0,-78.0,far,42.748139655947156,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-61.0,far,4.993705487510983,-68.0,far,18.463041467796263,-75.0,far,37.684068615678136,-79.0,far,50.917302655307886,-78.0,far,43.15021661124328,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-60.0,far,4.929106348550446,-70.0,far,18.290188116703593,-76.0,far,37.538914484598415,-78.0,far,50.62999761423791,-78.0,far,43.336130781023996,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-60.0,far,4.877045275336118,-70.0,far,18.134026898536206,-77.0,far,37.77632808716139,-78.0,far,50.36319870101624,-78.0,far,43.51236166114048,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-60.0,far,4.834773791277312,-70.0,far,17.992935119535954,-76.0,far,37.6299062103229,-78.0,far,50.11503970268172,-76.0,far,42.95924359154622,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
2.0,0.0,-60.0,far,4.800294150278218,-69.0,far,17.63173866608598,-77.0,far,37.852303897882194,-79.0,far,50.26098947834786,-76.0,far,42.451831615567066,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-63.0,far,6.110325496531387,-70.0,far,16.831661425203894,-74.0,far,34.5175274463878,-75.0,far,50.26294714892363,-77.0,far,43.891707287585675,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-62.0,far,6.091681445416016,-75.0,far,17.916612364000468,-70.0,far,31.369975453331186,-80.0,far,51.459206854665425,-74.0,far,41.058385936452154,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-64.0,far,6.384571574906152,-70.0,far,17.779685599340116,-70.0,far,29.558610783107845,0.0,unknow,-1.0,-74.0,far,39.884318673414725,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-62.0,far,6.489998257580271,-69.0,far,17.306368004047126,-73.0,far,28.450192238668397,-81.0,far,53.567297015671926,-73.0,far,37.465133055643626,0.0,unknow,-1.0,-82.0,far,85.43832482531134,0.0,unknow,-1.0
3.0,0.0,-65.0,far,6.797651093733756,-69.0,far,17.002432848582046,-73.0,far,28.124406569381698,-79.0,far,53.520395504588855,-73.0,far,36.25526351386185,0.0,unknow,-1.0,-80.0,far,83.66875815444408,0.0,unknow,-1.0
