Label_x,Label_y,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4,RSSI_5,proximity_5,accuracy_5,RSSI_6,proximity_6,accuracy_6,RSSI_7,proximity_7,accuracy_7,RSSI_8,proximity_8,accuracy_8
59.0,0.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-69.0,far,13.553178764772616,-70.0,far,16.389896007806097,-61.0,far,4.8987002870839795,-71.0,far,14.615078839911337
59.0,0.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-69.0,far,13.674946829312915,-73.0,far,16.95515665065267,-56.0,far,4.330151081729491,-73.0,far,15.479360874621493
59.0,0.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-69.0,far,13.782553429661249,-73.0,far,17.493301918315392,-57.0,far,4.066401033602985,-71.0,far,15.858451608463273
59.0,0.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-69.0,far,13.877927119825111,-69.0,far,17.166875482255847,-61.0,far,4.2407487009761615,-66.0,far,14.785784587724493
59.0,0.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-74.0,far,14.69810417241038,-67.0,far,16.34441228117745,-64.0,far,4.61845935525944,-65.0,far,13.674329285050407
59.0,0.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-73.0,far,16.13997817506018,-66.0,far,14.604233282286685,-64.0,far,5.314480130589708,-66.0,far,13.2108028767408
59.0,1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-74.0,far,16.68931457432858,-68.0,far,14.00961295580859,-57.0,far,4.080601298449744,-70.0,far,12.956997834069739
59.0,1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-74.0,far,17.57626541337071,-68.0,far,13.887396692425705,-58.0,far,3.985134888205021,-70.0,far,13.287781403459295
59.0,1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,17.972679875613156,-69.0,far,13.965880802063646,-58.0,far,3.9081757001863395,-67.0,far,13.043102370996968
59.0,1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,18.32090789736699,-69.0,far,14.037145353584012,-58.0,far,3.846232332276741,-68.0,far,13.028872255818593
59.0,1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,18.62886019646532,-68.0,far,13.910490800650818,-60.0,far,3.9733882009863017,-69.0,far,13.19237472406825
59.0,1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,18.62886019646532,-68.0,far,13.910490800650818,-60.0,far,3.9733882009863017,-69.0,far,13.19237472406825
59.0,2.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-71.0,far,18.257988841923442,-70.0,far,14.792735162445803,-60.0,far,4.279868692076508,-64.0,far,12.26987762242775
59.0,2.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-69.0,far,17.831878130631488,-68.0,far,14.571604793360532,-62.0,far,4.519381833506419,-64.0,far,11.531593354066976
59.0,2.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-70.0,far,17.71297491538849,-68.0,far,14.379342774402648,-65.0,far,4.960904780605011,-68.0,far,11.670202310146394
59.0,2.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-66.0,far,16.483254466556332,-68.0,far,14.21149300452373,-64.0,far,5.301728544193291,-67.0,far,11.635269237956875
59.0,2.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-67.0,far,15.793746018342553,-67.0,far,13.849460644238656,-59.0,far,5.039071123901422,-68.0,far,11.766417556687239
59.0,3.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-67.0,far,14.326029792340615,-70.0,far,16.649453266461997,-65.0,far,4.716268728430396,-69.0,far,12.950720255271793
59.0,3.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-67.0,far,14.326029792340615,-70.0,far,16.649453266461997,-65.0,far,4.716268728430396,-69.0,far,12.950720255271793
59.0,3.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-69.0,far,14.36087748186713,-73.0,far,17.1977468050274,-69.0,far,5.391953324981106,-68.0,far,12.946838827384378
59.0,3.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,15.066062967229744,-72.0,far,18.30520904350841,-63.0,far,6.14072715773024,-69.0,far,13.113628875569393
59.0,3.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,15.543861978787456,-72.0,far,18.57653721737854,-63.0,far,6.243564585997165,-71.0,far,13.572626484250291
59.0,4.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-70.0,far,13.142637246836953,-70.0,far,17.59366280516515,-61.0,far,6.629295537308688,-64.0,far,11.483865169999271
59.0,4.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-70.0,far,13.142637246836953,-70.0,far,17.59366280516515,-61.0,far,6.629295537308688,-64.0,far,11.483865169999271
59.0,4.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-74.0,far,14.767846563675986,-70.0,far,17.168107018980752,-61.0,far,6.380265142192756,-61.0,far,9.382868971891545
59.0,4.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,15.269886734300377,-73.0,far,17.714808166344564,-62.0,far,6.296306912630423,-63.0,far,8.986906169930746
